ID,Name,Type,Website,Purpose,Meeting Day,Meeting Location
24,Andrés Bonifacio Samahan,Cultural,http://absamahan.org,"The organization shall be based on the beliefs of Andrés Bonifacio, who fought for **Filipino independence in the late 19th century, to support educational enrichment and advancement through preserving, and increasing the awareness of the Filipino and Filipino American cultures through organized leadership, academic learning, and political and community involvement.",Friday; 12:00PM,"Park Boulevard, Aztec Student Union"
26,"Alpha Kappa Alpha Sorority, Inc.",Social Sorority,,"Alpha Kappa Alpha’s mission is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women in order to improve their social stature, to maintain a progressive interest in college life, and to be of “Service to All Mankind"".",Monday biweekly at 7:00pm,SDSU
28,"Arnold Air Society, John Burdette Binkley Squadron",Academic Major Related,https://sites.google.com/view/jbbdet075/home?authuser=0,"1.1. Definition of Mission. The Arnold Air Society (AAS) has adopted as its mission three interrelated objectives which enhance the Air Force Reserve Officer Training Corps (AFROTC) and United States Air Force Academy (USAFA) commissioning programs and project the USAF image on campus and in the community. 1.2. Objectives and Functions. 1.2.1. First: 1.2.1.1. Objective: create a more efficient relationship among Air Force officer candidates, in particular within the AFROTC. 1.2.1.2. Function: provides opportunities for greater interaction among collegiate level Air Force officer candidates and encourages increased communication with Air Force officers and leaders in national defense, government, and industry. 1.2.2. Second: 1.2.2.1. Objective: aid in the development of effective Air Force officers. 1.2.2.2. Function: provides expanded opportunities for Air Force officer candidates to exercise leadership, management, organizational, and public relations skills. 1.2.3. Third: 1.2.3.1. Objective: further the purpose, traditions, and concepts of the United States Air Force. 1.2.3.2. Function: provides opportunities for officer candidates to participate in campus and community service activities, demonstrating the close relationship between civilian and military institutions.",Saturday 1900 - 2300,ENS Flagpole
30,Asian Pacific Student Alliance (APSA),Cultural,http://www.apsasdsu.org,"The Asian Pacific Student Alliance (APSA) is a non-profit, culturally-based organization established to unite diverse students at San Diego State University. APSA endeavors to encourage its members to learn about and celebrate Asian American and Pacific Islander (AAPI) cultural identities, traditions and beliefs. Ultimately, the organization aims to inform and involve all members in issues that may affect their lives as AAPI individuals or the welfare of the AAPI community.",Tuesdays from 2:00pm to 3:00pm,Park Blvd
40,Alpha Omega Campus Ministry,Religious Based,https://www.aosdcampus.com,"Our mission is to glorify God by studying and living out the teachings of Jesus, abiding in his love, and sharing his grace. We aim to teach students how to follow Jesus through repentance, baptism, and perseverance.",Tuesdays and Friday's @ 7:30PM,On-campus
48,Best Buddies SDSU,Service & Support,https://www.facebook.com/SDSUBestBuddies/,The purpose of this organization is to enrich the lives of students at SDSU and students and adults with intellectual and developmental disabilities by providing opportunities for one-to-one friendships and leadership opportunities.,Wednesday 5:30-7:30,Park Boulevard
49,Beta Alpha Psi,Honor Society,https://sdsubap.com/,"Beta Alpha Psi (BAP) is a national honors scholastic and professional coed business organization. The primary objective of the fraternity is to encourage and give recognition to scholastic and professional excellence in the field of accounting, finance and information systems. This includes promoting the study and practice of business administration, providing opportunities for self-development, associating with members and practicing professionals, and encouraging a sense of ethical, social and public responsibility.",Wednesday 11:30am to 1:00 pm,Legacy Suite - Student Union
52,Black Student Science Organization,Academic Major Related,http://www.bsso.org,The purposes of this organization are to provide academic and social support to the African American students on campus and to provide outreach and service to the neighboring communities of the university.,Wednesdays at 4:00 pm,State Suite
54,Student Nurses Association,Academic Major Related,http://www.sdsusna.com/,"The mission of Student Nurses Association - San Diego State University (SNA-SDSU) is to foster nursing education, facilitate early unity among our future colleagues in nursing, and optimize the nursing student's exposure to the numerous specialties and pathways in the ever-changing field of nursing.",Mondays 4:00-6:00PM,Park Boulevard
55,Aztec Catholic,Religious Based,https://www.azteccatholic.com,"In response to what we have experienced in Christ, the San Diego State Catholic Newman Club is called to empower and challenge young adults to become the people God created them to be.  We strive to do this through events and programs that: nurture the spiritual growth of students, engage students in service to the wider community, spread the light of Christ throughout the campus, promote fellowship and supportive Christian relationships.",Sunday 10:45am-12:00pm,Catholic Newman Center
59,"Chi Epsilon, Civil Engineering Honor Society",Academic Major Related,http://xesdsu.weebly.com,"Dedicated to the purpose of maintaining and promoting the status of civil engineering as an ideal profession, Chi-Epsilon was organized to recognize the characteristics of the individual civil engineer deemed to be fundamental to the successful pursuit of an engineering career, and to aid in the development of those characteristics in the civil engineering student. Engineering, the application of scientific principles to the practical needs of society, is assuming a constantly increasing responsibility for the well-being of all people, and thus calling for competence of the highest order. This responsibility can be discharged only by a professional group whose members are possessed of a good basic technical ability, intelligence, moral integrity, and effective social poise in their relationship with the larger community of which they are part. To contribute to the improvement of the profession, Chi Epsilon fosters the development and exercise of sound traits of character and technical ability among civil engineers, and its members, by precept and example, toward an ever higher standard of professional service.",Tuesdays @ 11AM,Union 2 - Metzli
63,Chinese Students and Scholars Association,Cultural,,"Serve Chinese students and scholars to provide services that they need, try our best to make their studying experience in SDSU more convenient and enjoyable.","Friday, 2:00pm-4:00pm","Aztec Student Union - Legacy Suite, 372"
70,College Republicans at San Diego State University,Political,https://linktr.ee/SDSUCR,"College Republicans at SDSU promote and facilitate Republican activism at San Diego State University and within San Diego County.    College Republicans also actively participate in organizing with other like-minded organizations. We also act as a significant resource via our brand by networking in local, statewide, and national politics.","Tuesdays, 7:30p-8:30p","Pride Suite, Student Union"
73,Society of Communication and Leadership (SoCaL),Academic Major Related,,"This organization is dedicated to promoting academic growth through enhancing professional connections among School of Communication graduate students, alumni, faculty and staff. The Society of Communication and Leadership (SoCaL) fosters faculty/student relationships and provides a variety of programs, resources, and events designed to assist graduate students in their future endeavors.",Bimonthly general member meetings Wed 2:00-3:00pm,COMM 209
80,Delta Sigma Pi,Academic Major Related,http://www.dspsdsu.com,"Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities; to encourage scholarship, social activity and the association of students for their mutual advancement by research and practice; to promote closer affiliation between the commercial world and students of commerce, and to further a higher standard of commercial ethics and culture and the civic and commercial welfare of the community.",Sunday @5:00PM,Student Union/Classroom Reservation
81,Delta Sigma Psi Sorority,Social Sorority,http://deltasigmapsi.org,"To foster a memorable experience of college life, promote academic achievement, social interactions, community service, leadership, and networking (family ties).",,
83,Delta Upsilon International Fraternity,Social Fraternity,http://dusdsu.com/,"To Build Better Men through a variety of leadership development opportunities, educational programs, and social settings based on the principles of culture, character, justice, and friendship.",Sundays 5:00 PM,Delta Upsilon House - 5540 Hardy Ave
85,Engineers Without Borders - SDSU (EWB-SDSU),Academic Major Related,http://ewbsdsu.weebly.com/,"The mission of EWB-USA is to partner with developing communities to improve their quality of life through the implementation of environmentally sustainable, equitable, and economical engineering projects. In the process of working to advance developing communities, EWB-USA promotes the development of globally aware and internationally responsible engineers, students, and professionals.",Weekly on Tuesday's at 2:00-3:00pm,Visonary Suite
86,Entrepreneur Society,Academic Major Related,http://www.entrepreneur.sdsu.edu,"The purpose of the Entrepreneur Society is to foster a vibrant culture of entrepreneurship on campus, empowering students to develop entrepreneurial mindsets and launch their own ventures.  WE ARE OPEN TO ALL MAJORS. YOU DO NOT NEED TO BE STUDYING BUSINESS.  We provide support for students creating their own businesses, from coming up with the ideas to making dreams a reality.   We also invite out great guest speakers -- from CEO's of firms that do several hundred million dollars in business, to recent graduates that are in start-ups, we have successful entrepreneurs & movers & shakers tell their story.",Wednesday at 6pm - 7pm (usually),EIS 103
88,EOP Student Advisory Board,Cultural,,"To support EOP students in their academic, social, civic, and cultural development. As well as direct them to resources that will allow them to be active, involved, and engaged during their time at San Diego State.",,SSE 2109/ Zoom
93,Finance & Investment Society of San Diego State University,Academic Major Related,http://sdsufis.com,"The Finance & Investment Society of San Diego State University is a professional student organization, which provides an opportunity for all majors to develop their professional competency. Our mission is to build a strong and growing relationship between the business community of Southern California and the members of the Finance & Investment Society. We provide a professional environment which introduces its members to various career opportunities within the finance industry, providing them the means of establishing a network of business contacts. Our organization incorporates four main areas of emphasis including professional development, social interaction, campus involvement, and a strong presence in the community. These areas are included into our program to strengthen business skills, as well as for personal enrichment.",,
94,Financial Planning Association,Academic Major Related,https://sites.google.com/view/sdsufpa/home,"The purpose of this organization is to provide students with networking and professional opportunities in the financial planning field through guest speakers, special events, scholarships and workshops.",Thursday 7-8:30pm,"Presidential Suite, in the Student Union"
98,Furniture Design Association at SDSU,Academic Major Related,,Our purpose is to promote and educate Furniture Designers and bring community awareness to our craft.,Third Wednesday of every month,202
101,Future Physical Therapists Organization (FPTO),Academic Major Related,https://futureptorg.wixsite.com/sdsufpto,"The purpose of this organization is to promote academic success, preparation for graduate school, professionalism, and growth in the fields of physical therapy, occupational therapy, and the general study of kinesiology.",Monday 12-1,Pride Suite
103,Gamma Phi Beta Sorority,Social Sorority,http://www.gammaphisdsu.com,"To foster a nurturing environment that provides women the opportunity to achieve their potential through lifelong commitment to intellectual growth, individual worth and service to humanity.",Mondays 7:00 PM,SDSU classroom
107,Gamma Zeta Alpha Fraternity,Social Fraternity,http://gammas.org,"The mission of Gamma Zeta Alpha Fraternity, Inc, a not-for-profit corporation built on the foundation of respect and brotherhood, is to establish and promote a nurturing environment at the university level and beyond, through academic excellence, community service, and the celebration of the diverse Latino Culture.",Monday 7:30pm,Presidential Suite
118,Hispanic Business Student Association (HBSA),Academic Major Related,,"HBSA seeks to promote the educational and professional careers of its members with an emphasis on the Hispanic population at San Diego State University. Members are encouraged to become future leaders in the professional world. Inspiring guest speakers from the public and private sector are invited to present at meetings and professional events. Companies, organizations and individuals are solicited to host workshops which are designed to address educational issues, business trends, and career opportunities relating to the Hispanic community.",Wednesdays 4:30-6:00 pm (Starting August 24th)),Legacy Suite
120,Weber Honors College Student Society,Honor Society,http://newscenter.sdsu.edu/dus/uhc/Default.aspx,"The purpose of this organization is to work to ensure that the Weber Honors College fulfills its mission statement and satisfies the expectations of honors students by acting as an advisory board to the Weber Honors College, as the representative body of its members. Through extra-curricular service and social activities, the Weber Honors College strives to create a community of students who take an interest in being responsible and engaged members of their university, greater community, and world.","Wednesdays, 12-1pm",AD 201
121,Lodging Management Student Association (LMSA),Academic Major Related,https://lmsasdsu.wixsite.com/lmsa,The purpose of this organization is to provide a platform to bridge education and the professional lodging industry.,Tuesdays at 6:30pm,Balboa Room
123,IEEE - Institute of Electrical and Electronics Engineers,Academic Major Related,http://ieee.sdsu.edu,"For the past 40 years, the IEEE (Institute of Electrical and Electronics Engineers) has been the primary contributor to the advancement of technology throughout the world. Creating and innovating to accelerate society and business, the IEEE continues to propel technology with over 430,000 members within 180 countries globally. The SDSU IEEE Student branch, like its parent organization, aims to push forth similar goals through: 	•	Bringing in professional guest speakers to gain insight into engineering careers 	•	Completing project to give student hands-on experience 	•	Assist student in tutoring and professional development 	•	Serving and working together with the IEEE parent branch 	•	Collaborating with SDSU faculty and the engineering student council","Tuesday, 2pm-3pm (weekly)",SDSU
124,Interfraternity Council (IFC),Greek Auxiliary Group,http://sdsuifc.net,"The purpose of the InterFraternity Council shall be to promote the best interests of the University, to assist and strengthen fraternities individually and collectively in the achievement of their worthy purposes, to provide a medium for the exercising of self-government and the self-regulation of fraternity affairs, to offer opportunities for the further development and expansion of fraternity life on campus, to act as liason between fraternities and the University administration, to offer a common meeting ground for all fraternities, and to foster fellowship and goodwill among the fraternities and the student body as a whole.",Weekly Tuesday 2:00 PM,Pierce Greek Life Center
125,International Business Society,Academic Major Related,http://www.sdsuibsociety.org,"""The International Business Society strives to provide students with educational and professional network oppurtunies, teach professional skills, and explore study abroad programs, international internships and business career opportunities.""",Thursdays from 5:30pm-7:30pm,2 - Metztli
126,International Student Association at SDSU,Cultural,https://www.instagram.com/isa.sdsu/,"The purpose of this organization shall be to promote cultural awareness, international goodwill, and to set up fun programs that benefit our diverse student community that has an interest in international issues.",1:00PM-2:00PM Monday,Virtual
127,International Youth and Students for Social Equality (IYSSE),Political,https://linktr.ee/iysse_sdsu,"The purposes of this organization are to build a movement of student youth in opposition to war and social inequality upon the foundation of international socialism. The International Youth and Students for Social Equality is a political organization, but its actions will not be limited to those of a strictly political nature. The overarching goal of the organization is to unite students on the basis of international socialist politics. This will involve meetings and discussions on historical, philosophical, and political issues, as well as active participation in the cultural and political life of the university.",Wednesdays at 7 P.M.,TBD
131,ISCOR Student Society,Academic Major Related,,"Foster a sense of community among ISCOR students, while providing a platform for networking, exploration  of professional opportunities, discussion of international issues, and service to the community and SDSU.",Tuesday 7-8pm,Visionary Suite
132,Japanese Student Association,Cultural,,"The Japanese Student Association of San Diego State University is dedicated to creating a better understanding of the Japanese culture among people of all backgrounds. JSA provides various career opportunities, events for social interaction, and memorable experiences for all students.","Wednesday, 3:00pm-4:00pm",Mata'yuum
133,Jewelry Student Co-op,Academic Major Related,,To serve as a creative collective focused on advancement of metalworking techniques and continuing the practice of instruction of old methods.,Tuesday 6:15-7:15,ART 402/404
138,"Kappa Alpha Psi Fraternity, Inc.",Social Fraternity,http://www.kappaalphapsi1911.com,The fundamental purpose of Kappa Alpha Psi is Achievement in every field of human endeavour.,Thursday,Student Union -
139,Kappa Alpha Theta Sorority,Social Sorority,https://www.sdsutheta.org/,The intellectual ambition of the Fraternity shall be the attainment of highest scholarship. The social aim of the Fraternity shall be to exercise the widest influence for good. The moral aim of the Fraternity shall be the standard of love.,Monday 7:00pm,
140,Kappa Delta,Social Sorority,http://sdsu.kappadelta.org/,"The purpose of Kappa Delta sorority is to promote true friendship among the college girls of our country by inculcating into their hearts and lives, those values, of truth, of honor, of duty, without which there can be no true friendship.",Monday 7:00 PM,SDSU campus
147,Lambda Sigma Gamma Sorority,Social Sorority,https://lsgatsdsu.weebly.com/,"The purposes of this organization are to instill the desire for self-improvement, scholastic excellence and the cultivation of civic responsibility.  Also, to promote unity and higher education.",Wednesdays at 7:30 pm,Union/ Presidential Suite
150,Latino Student Social Work Association,Academic Major Related,https://www.facebook.com/sdsu.lsswa,"The purpose of this organization is to educate, advocate for, and empower social work students, the social work profession, and the Latino community.",Every other Friday at 6-7PM,Metztli
152,Le Cercle Français - French Club,Academic Major Related,http://sdsufrenchclub.weebly.com/,Share interests in French and Francophone language and culture.,"Mondays, 5:15pm - 6:15pm","Aztlan Suite, Student Union"
156,Meeting and Events Student Association (MESA),Academic Major Related,https://mesasdsu.wixsite.com/mesa,To provide opportunities for personal and professional development within the events industry in preparation for careers as meeting and event professionals.,Tuesdays at 7:45 pm,Balboa Room in Adams Humanities
157,Mortar Board SDSU Jane K. Smith Cap and Gown Chapter,Honor Society,http://mortarboard.sdsu.edu/,"The purpose of the Chapter shall be to cooperate with other chapters of the Society, to contribute to the self-awareness of its members, to promote equal opportunity among all peoples, to emphasize the advancement of the status of women, to support the ideals of the academy and of San Diego State University, to advance the spirit of scholarship, to recognize and encourage leadership, to provide service, and to establish the opportunity for a meaningful exchange of ideas as individuals and as a group.","Monthly, 3rd Monday 3:30 p.m.",
158,Movimiento Estudiantil Chicanx De Aztlan (M.E.Ch.A),Political,https://mechadesdsu.webnode.com/,The purpose of this organization is to support Chicanx/Latinx students to determine their educational goals and create strategies to meet them. A core component of each student’s educational development is to learn about the their cultural background and gain strength from its rich traditions and heritage.,Tuesdays 3:30-4:30pm,Pride Suite
159,Muslim Student Association,Cultural,http://msasdsu.weebly.com/,"The purpose of the MSA will be to serve the best interests of the Muslim students of San Diego State University, within the framework of Islam in deriving guidance and values from the Quran and Sunnah. The MSA will:  •	Develop, inspire, teach their members to achieve the best they can, become God-conscious individuals, and take an active role in working for Islam in the SDSU campus community •	Strengthen bonds of brotherhood/sisterhood between SDSU students •	Raise awareness of Islam and Muslims on a SDSU campus level •	Create service that can be utilized by Muslims and non-Muslims alike for SDSU campus students •	Create and develop community connection",TBA,Center for Intercultural Relations
161,National Society of Black Engineers (NSBE) SDSU,Academic Major Related,http://www.nsbe.org/,"Increase the number of culturally responsible Black Engineers who excel academically, succeed professionally, and positively impact the community.",Every other Tuesday @ 11:00 am - 1:00 PM,Aztlan
163,National Student Speech Language Hearing Association (NSSLHA) Chapter at SDSU,Academic Major Related,http://sdsunsslha.wixsite.com/sdsunsslha,The SDSU NSSLHA Chapter is designed for students who are interested in the Speech-Language Pathology and/or Audiology professions and want to raise awareness of communication and hearing disorders.,Tuesday 10:30am,Park Boulevard
164,Native American Student Alliance (NASA),Cultural,http://nasa.sdsu.edu,"The purposes of this organization are to educate the community about Native American/Indigenous identifying cultures, promote social and educational development of Native students, exchange ideas and traditions with members of the Native community, and foster leadership among Native students and non-Native students.",TBD,Native Resource Center
166,Nu Alpha Kappa Fraternity,Social Fraternity,http://www.naksdsu.org,The purpose of NAK is to unite students and create better relations among students and the university and improve the life of Latinos coming to college and helping them become successful in their academic career.,Tuesdays 7:00 PM,EOP
171,Pacific Islander Student Association (PISA),Cultural,https://sdsupisa.wixsite.com/mysite,"The purpose of this organization is to promote higher education among Pacific Islander youth. The organization consists of students with Pacific Islander heritage and non-Pacific Islander students. Pacific Islander students represent less than 0.5% of the SDSU population. SDSU’s Pacific Islander Student Association (PISA) advocates for the success of Pacific Islander youth through the High School Conference, the Annual Lu’au, intercampus networking, cultural workshops, and participation in community events, such as those with the Pacific Islander Festival Association (PIFA).",Wednesday 15:30 17:00,Matayuum
172,College Panhellenic Association (CPA),Greek Auxiliary Group,https://www.sdsupanhellenic.com/,"We are the governing body of the nine National Panhellenic Conference sorority chapters on campus: Alpha Chi Omega, Alpha Gamma Delta, Alpha Phi, Delta Gamma, Gamma Phi Beta, Kappa Alpha Theta, Kappa Delta, Chi Omega, and Pi Beta Phi.",Weekly Monday 1:00 PM,Pierce Greek Life Center
176,"Phi Beta Sigma Fraternity, Inc.",Social Fraternity,,"The purpose of Phi Beta Sigma Fraternity is to live by the high ideals of brotherhood, scholarship and service and carry on the dream of our three founders. We are a fraternity for the community and not above it.  We serve our campus and our community with the best in conduct.",Sundays at 7:30 pm,Student Union
182,Physician Assistant Student Association,Academic Major Related,https://pasasdsu.wixsite.com/sdsupasa,"Established in January 2000, The Physician Assistant Student Association (PASA) is a non-profit, student organization of San Diego State University that brings together students aspiring to become Physician Assistants. PASA collaborates with SDSU faculty, SDSU Pre-Health Organizations, Physician Assistants, Medical Doctors, and other Healthcare Professionals to provide our members with the opportunity to gain more knowledge about PA programs, network, become involved in the community, and gain preparation for becoming a PA.","Thursdays biweekly, 4:00-5:30",Pride Suite
183,Pi Beta Phi Sorority,Social Sorority,http://www.pibetaphi.org/sdsu ,"The mission of Pi Beta Phi Fraternity for Women is to promote friendship, develop women of intellect and integrity, cultivate leadership potential and enrich lives through community service. At the California Epsilon chapter of Pi Beta Phi, we continue to uphold these values and maintain a strong presence on campus and within the community.",Mondays at 7:00 PM,Pi Beta Phi Chapter House
185,Pre-Dental Organization,Academic Major Related,http://* Under Renovation (will be updated by 2023/2024 school year) ,"The SDSU Pre-Dental Organization offers students a positive environment to explore the field of Dentistry. The organization aims to provide experiences for students that help them to determine if Dentistry is the right career path for them. Through meeting with admissions counselors at some of the top dental schools in the country, to practicing soap carving teeth, the SDSU Pre-Dental Organization is determined to guide students through such a rigorous pre-health path. Not only does SDSU Pre-Dental Organization offer hands-on experiences to explore Dentistry and thoroughly educate on the process to dental school, but also provides unlimited support for each student throughout their Pre-Dental journey.",Mondays 3:15pm-4:15pm,Metztli
186,Pre-Law Society,Academic Major Related,http://sdsuprelawsocietyorg.squarespace.com,"To provide San Diego State University students with information about the LSAT, law school application process, law school itself, as well as the legal field as a whole.",Mondays 4:00-5:00pm PST,Student Union
189,Pre-Veterinary Medical Association (PVMA),Academic Major Related,http://sdsupvma.weebly.com,"The Pre-Veterinary Medical Association at San Diego State University is a campus organization that serves to educate the public, students, and members about the field of veterinary medicine. We foster an environment of support, teamwork, and general compassion towards animals and humans alike. The membership shall strive to gain exposure to various aspects of veterinary medicine through volunteer opportunities, hands-on experience, and education.",Dates vary; refer to organization website,Locations vary; refer to organization website
191,Psi Chi,Academic Major Related,http://sdsupsichi.wixsite.com/sdsupsichi,"Our club allows students to become more involved in the field of Psychology through: lectures, social events, community service, and networking.",Wednesdays 4-5pm,Legacy Suite
193,Public Relations Student Society of America (PRSSA),Academic Major Related,http://prssasdsu.com/,The Public Relations Student Society of America (PRSSA) is a nationally recognized pre-professional organization founded by the Public Relations Society of America (PRSA) in 1968. PRSSA cultivates a favorable and mutually advantageous relationship between students and professional public relations practitioners.,Mondays (7:00-8:00 PST),Park Blvd
197,Real Estate Society of SDSU,Academic Major Related,http://www.res-sdsu.com,"The purpose of this Society is to thoroughly prepare our members for a rewarding career in the myriad opportunities presented by the real estate industry by facilitating learning, scholarship, networking, experience-building, and internship opportunities and by connecting our members with our professional partners and sponsors.",every other Monday @ 5:30-7:00,2 - Mata'yuum
198,Cru,Religious Based,https://www.instagram.com/crusdsu/?hl=en,"Cru exists to provide regular opportunities to study and discuss the Bible, worship, and pray, all in a group setting, which also provides opportunities for fellowship, encouragement and spiritual development among members. We seek to be a resource to the student body by offering opportunities to discuss spiritual matters and provide materials in the form of outside speakers, videos, books, and articles, all for their benefit and consideration.",Thursdays 7:00PM-9:00PM,
199,Recreation and Tourism Student Association,Academic Major Related,http://www.rtsasdsu.weebly.com,"To create opportunities for students of Recreation Tourism Management majors to get involved on campus, network with professionals, develop career goals, and to extend the knowledge of the Recreation and Tourism Management as a major to more students.",Wednesday's 2:30,Balboa Room Adams Humanities
202,Rotaract of San Diego State University,Service & Support,http://sdsurotaract.org,"The objective this organization shall be to become acquainted with each other as an opportunity for service; to practice high ethical standards in business and professions; to practice ideals in personal, business, and community life; and to promote international understanding and goodwill. We follow the motto ""service above self.""","Weekly, Thursdays, 6:00pm",Pride Suite
206,School Counseling Graduate Student Association,Academic Major Related,,"Section 1: To provide peer support through mentorship and collaboration for the students progressing through the Master’s in School Counseling program .  Section 2: To inform prospective  students about the M.S. in Counseling & PPS Credential  program at San Diego State University.  Section 3: To grant opportunities for  professional involvement and development.   Section 4: To present additional education and training for the field of school counseling   Section 5: To foster relationship between cohorts outside of school setting    Section 6: The Association shall be nonprofit, nonpartisan and nonsectarian in its purpose and activities.",Every other Monday 7:30pm-8:30pm,Zoom
207,Social Action Committee,Academic Major Related,,"The purposes of this organization are to educate the university community about political and social issues that are relevant to social welfare, provide a forum for discussion of topics of concern, and empower students to work toward social justice.",2nd Friday of every month 6-7pm,Classroom will be requested
208,School Psychology Student Association,Academic Major Related,http://go.sdsu.edu/education/csp/schoolpsychology.aspx,"The purposes of the Association shall be:  a. To promote professional growth of students in the School Psychology Program.  b. To educate students and the community about the services and practice of psychology in the schools.  c. To better prepare the school psychology community to serve the mental health and education needs of all children and youth in a multicultural society.  d. To provide an opportunity for school psychology students to develop leadership roles.",,Digital or on campus depending on COVID status
219,Sigma Lambda Beta International Fraternity Inc.,Social Fraternity,http://sigmalambdabeta.com,"The purpose of Sigma Lambda Beta shall primarily consist of the following: -To promote Latino culture/heritage in a positive manner. -To promote standards of excellence in morality, ethics and education. -To better serve the needs and desires of society by disseminating the diverse cultures that each of us possess.",Mondays @ 7:00pm,TBD
223,Sigma Phi Omega Sorority,Social Sorority,http://www.sdsigmas.com,"The purpose of this organization shall be to develop a greater womanhood through service to the school, community and social interaction. The purpose shall be to promote sisterhood among the members of the organization.",Mondays 7:00 PM,NE 172
224,Sigma Theta Psi Multicultural Sorority,Social Sorority,http://sigmathetapsisdsu.weebly.com,"Sigma Theta Psi was formed on November 13, 1991 at San Jose, California by 18 women seeking to solidify and immortalize the values and responsibilities which embodied their persons. They strove to share their message of cultural diversity, respect and compassion with other women. By the means of honesty, loyalty, respect, open-mindedness, leadership, and academic excellence we carry forth the vision of these 18 women.",Monday at 7:00 PM,
226,Skull & Dagger Dramatic Society,Academic Major Related,https://skullanddaggersd.wixsite.com/my-site,Our goal is to provide worthwhile artistic opportunities for students at San Diego State University in the field of the theatrical arts and film. We strive to encourage artistic growth by creating an open space for the discovery and practice of new and old performance methods and theatre art practices.,TBD,TBD
229,Society of Hispanic Professional Engineers at SDSU (SHPE),Academic Major Related,https://shpesdsu.wixsite.com/shpe,"SHPE changes lives by empowering the Hispanic community to realize its fullest potential and to impact the world through STEM awareness, access, support and development.",Wednesdays at 7pm,Legacy Suite
